Month,Supplier,Category,PO_Value_EUR,Invoice_Value_EUR,Discrepancy_EUR,Discrepancy_Pct,Approval_Status
Oct 2024,Ricoh,Office & Peripherals,213087,208060,-5027,-2.36,Pending
Oct 2024,SHI International,IT Hardware,19205,20277,1072,5.58,Pending
Oct 2024,Deloitte,Professional Services,23423,23423,0,0.0,Approved
Oct 2024,Xerox,Office & Peripherals,210360,210360,0,0.0,Approved
Oct 2024,Insight Direct,Software Licensing,239366,239366,0,0.0,Approved
Oct 2024,Kyndryl,Managed Services,218652,218652,0,0.0,Approved
Nov 2024,Accenture,Professional Services,206048,202947,-3101,-1.5,Pending
Nov 2024,Computacenter,IT Hardware,133495,133495,0,0.0,Approved
Nov 2024,Xerox,Office & Peripherals,143216,142209,-1007,-0.7,Approved
Nov 2024,DXC Technology,Managed Services,225766,223285,-2481,-1.1,Approved
Nov 2024,Softcat,Software Licensing,200087,202106,2019,1.01,Approved
Nov 2024,Equinix,Facilities & Infra,234156,234156,0,0.0,Approved
Nov 2024,Kyndryl,Managed Services,207890,207890,0,0.0,Approved
Nov 2024,Iron Mountain,Facilities & Infra,270263,270263,0,0.0,Approved
Nov 2024,Ricoh,Office & Peripherals,224708,223488,-1220,-0.54,Approved
Nov 2024,Capgemini,Professional Services,198349,225443,27094,13.66,Flagged
Nov 2024,Crayon,Software Licensing,12522,12438,-84,-0.67,Approved
Nov 2024,Deloitte,Professional Services,171503,171503,0,0.0,Approved
Nov 2024,CDW,IT Hardware,198857,198857,0,0.0,Approved
Dec 2024,Kyndryl,Managed Services,180531,178837,-1694,-0.94,Pending
Dec 2024,Computacenter,IT Hardware,167287,143650,-23637,-14.13,Flagged
Dec 2024,Accenture,Professional Services,147031,147031,0,0.0,Approved
Dec 2024,Iron Mountain,Facilities & Infra,229705,229705,0,0.0,Approved
Dec 2024,Softcat,Software Licensing,122867,121372,-1495,-1.22,Approved
Dec 2024,Deloitte,Professional Services,130571,130571,0,0.0,Approved
Dec 2024,Crayon,Software Licensing,191829,194055,2226,1.16,Pending
Dec 2024,CDW,IT Hardware,162106,157602,-4504,-2.78,Approved
Dec 2024,Equinix,Facilities & Infra,258707,258707,0,0.0,Approved
